"Total energy average price, dollars per million Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,1.39,1.46,1.55,1.68,2.46,2.69,2.93,3.07,3.08,3.58,5.04,6.38,6,5.98,6.11,5.94,4.97,5.06,5.46,6.12,6.88,6.31,6.23,6.45,6.37,6.41,6.75,6.74,5.8,6.17,8.03,8.18,7.78,9.08,11.07,13.99,16.61,17.94,23.91,18.22,20.56,25.22,25.58,25.11,24.95,19.06,17,18.98,22.2,21.36,17.2,20.42
AL,1.37,1.51,1.61,1.84,2.5,2.83,3.21,3.76,3.99,4.9,6.29,7.43,7.91,7.9,7.79,7.68,7.07,7.04,6.84,6.99,7.56,7.49,7.24,7.36,7.09,6.96,7.28,7.52,7.33,7.58,8.78,9.45,9.16,9.98,11.27,13.56,14.96,16.06,19.22,16.55,17.8,20.06,19.86,18.89,18.62,15.69,14.85,15.97,16.7,16.38,14.85,17.84
AR,1.51,1.65,1.69,1.81,2.49,2.96,3.29,3.81,4,4.67,6.58,7.38,7.81,7.76,7.83,8.04,7.51,7.99,7.46,7.15,8.2,8.33,8.12,8.11,7.92,7.61,8.13,8.24,7.71,7.9,9.47,10.2,9.39,10.23,11.96,14.46,15.78,16.68,19.96,15.64,16.87,19.59,19.84,19.3,18.86,15.86,14.62,15.76,16.45,16.07,14.79,18.43
AZ,1.97,2.06,2.14,2.34,3.12,3.87,4.12,4.59,5.08,6.18,8.38,9.33,9.89,9.52,9.54,10.03,9.13,9.76,9.73,10.36,11.23,10.94,11.46,11.73,11.53,11.29,11.9,11.76,10.83,11.24,12.94,12.82,12.39,13.86,15.36,17.87,19.7,20.87,23.95,20.14,22,25.23,26.03,25.7,25.51,21.89,20.11,21.8,23.98,23.3,21.24,25.06
CA,1.74,1.81,1.91,2.13,3.03,3.47,3.8,4.27,4.58,5.54,7.71,8.84,9.3,8.85,8.75,8.9,7.78,7.67,7.87,8.29,9.04,9.14,9.63,9.58,9.61,9.68,9.97,10.36,9.32,10.04,12.05,13,12.07,13.83,15.17,17.46,19.4,20.15,23.25,18.68,21.23,24.55,25.17,25.15,25.65,22.14,20.16,21.97,24.45,24.68,23.65,28.43
CO,1.52,1.67,1.67,1.85,2.49,2.92,3.13,3.51,3.84,4.94,6.48,7.86,8.39,8.21,8.05,8.23,7.26,7.4,7.19,7.63,8.15,7.98,8.07,7.97,8.34,8.41,8.67,8.79,8.13,8.74,10.25,10.72,9.6,10.79,12.48,15.15,16.94,17.06,19.81,15.52,17.54,21.32,21.84,21.18,21.33,17.21,15.75,17.2,18.5,17.77,16.47,20.61
CT,2.14,2.38,2.5,2.76,4.12,4.51,4.55,4.93,5.09,6.7,8.95,11.16,11.18,11.24,11,11.01,9.52,9.49,9.83,10.4,11.45,11.6,11.4,11.58,11.78,12.24,12.6,12.73,12.07,12.01,13.51,13.49,13.02,14.42,15.94,19.62,23.09,25.31,29.1,23.65,25.6,28.16,28.63,27.79,27.96,23.3,21.89,23.18,24.87,24.32,23.11,25.85
DC,1.72,1.97,2.15,2.38,3.71,4.33,4.53,5.12,5.76,6.72,8.7,9.86,10.18,10.91,11.09,11.56,10.29,10.09,10.31,10.47,11.13,11.13,11.41,11.91,12.41,12.4,13.11,13.19,13.2,13.28,14.58,15.21,14.62,15.82,16.74,20.08,24.03,24.57,27.52,24.38,25.71,26.61,25.43,24.71,24.92,23.11,22.36,23.03,23.57,24.06,22.55,25.68
DE,1.71,1.88,2.03,2.2,3.41,3.95,4.05,4.64,5,5.89,7.38,8.94,9.13,9.09,8.78,9.14,7.7,7.53,7.96,8.41,8.75,8.94,8.41,8.41,8.63,9.04,9.35,9.75,9.32,9.51,10.41,11.24,11.17,12.31,14.01,16.48,19.76,21.06,24.35,21.23,22.8,25.1,24.63,24.05,23.68,19.74,18.16,19.75,20.74,19.87,18.42,21.48
FL,2.33,2.41,2.57,2.8,3.97,4.57,4.7,4.94,5.37,6.59,8.75,10.64,10.73,10.25,10.52,10.74,9.2,9.25,9.16,9.31,10.2,10.23,9.9,10.16,9.9,10.07,10.71,10.84,10.17,10.44,12.07,12.62,12.16,13.59,15.21,17.97,20.75,21.67,25.21,21.32,22.02,25.46,25.56,25.11,24.99,20.22,18.42,20.05,21.41,20.79,19.25,22.52
GA,1.85,1.98,2.04,2.2,3.11,3.64,3.9,4.32,4.6,5.45,7.25,8.38,8.69,8.21,8.31,8.36,7.38,7.51,7.51,7.59,8.32,8.23,8.12,8.22,8.14,8.03,8.41,8.4,8.04,8.14,9.93,10.23,9.53,10.79,12.42,15.29,16.45,17.33,21.01,16.7,18.31,21.62,21.83,21.46,21.14,17.1,16.16,17.58,18.35,17.95,16.53,19.77
HI,1.72,1.8,1.89,2.16,3.14,3.95,4.27,4.6,5.06,6.12,8.67,11.79,12.3,11.43,11.01,10.22,8.46,8.65,7.83,8.48,9.92,9.81,9.62,10.97,10.72,11.14,13.04,13.32,11.88,12.49,15.23,15.34,14.23,15.6,17.73,21.39,24.33,24.98,35.87,25.21,29.12,37.15,38.6,37.07,36.24,27.11,23.95,26.1,30.36,29.48,30.08,32.69
IA,1.8,1.91,2,2.16,2.71,3.13,3.43,3.92,4.34,5.1,6.68,7.74,8.06,8.25,8.06,8.04,7.27,7.04,6.89,7.17,7.66,7.46,7.6,7.74,7.7,7.59,7.96,8.14,7.66,7.92,9.9,10.21,9.36,10.45,11.9,14.3,15.59,16.09,18.05,14.31,15.37,17.8,17.68,17.22,17.64,13.93,12.93,13.7,14.62,13.89,12.66,16.41
ID,1.76,1.79,1.82,2.04,2.65,3,3.36,3.72,3.95,4.88,6.64,7.56,7.89,7.77,7.93,8.03,6.96,7.26,7.14,6.96,7.46,7.36,7.52,7.55,7.7,7.52,7.94,7.89,7.37,7.61,9.04,9.78,9.95,10.7,11.68,13.65,15.07,15.91,18.09,15.56,17.18,19.72,20.28,20.24,20.64,16.87,15.48,16.62,18.14,17.12,15.46,19.29
IL,1.7,1.79,1.86,2.09,2.77,3.17,3.42,3.81,4.18,5.2,6.72,7.65,8.21,8.5,8.15,8.48,7.81,7.99,7.63,8.03,8.73,8.64,8.51,8.79,8.76,8.71,9.1,9.24,8.81,8.73,10.47,11.1,10.13,11.25,12.47,14.75,15.91,17.3,19.87,15.78,17.25,19.4,19.19,18.37,18.88,15.54,14.56,15.86,16.8,16,14.44,18.38
IN,1.45,1.52,1.54,1.75,2.43,2.83,3.04,3.47,3.77,4.44,5.65,6.35,6.86,6.84,6.8,6.92,6.3,6.1,6.08,6.33,6.74,6.77,6.64,6.69,7.07,6.89,7.18,7.4,7.07,7.21,8.23,8.82,8.19,9.17,10.19,12.6,13.91,14.46,17.08,14.04,15,17.82,18.14,17.97,18.05,14.99,13.78,15.15,15.85,15.37,14.16,17.11
KS,1.56,1.57,1.59,1.86,2.46,2.89,3.18,3.55,3.7,4.4,6,7.08,7.45,7.88,7.58,7.31,7.12,7.06,6.86,7.33,7.65,7.42,7.62,7.52,7.41,7.75,8.57,8.86,8.24,8.57,10.41,10.71,9.83,11.11,12.56,14.9,16.19,17.32,19.85,15.67,17.58,20.36,20.98,21.15,21.21,17.01,16.02,17.3,18.32,17.31,15.46,19.05
KY,1.68,1.78,1.84,2.06,2.75,3.28,3.38,3.85,4.17,5.06,6.73,7.92,8.28,8.04,7.81,7.94,7.21,7.29,7.25,7.4,7.87,7.71,7.42,7.55,7.59,7.41,7.9,8.07,7.55,7.82,9.3,9.3,8.8,9.77,11.08,13.57,15,16,19.07,15.28,17.22,20.62,20.65,20.8,20.43,16.37,15.26,16.72,17.92,17.36,15.48,19.24
LA,0.95,1,1.06,1.17,1.78,2.08,2.36,2.61,2.67,3.39,4.78,5.93,6.64,6.49,6.44,6.54,5.04,5.23,5.16,5.14,5.9,5.58,5.2,5.35,5.26,5.16,6.02,5.7,5.08,5.61,7.6,7.93,7.02,8.58,10.12,13.13,14.25,15.14,19.87,12.79,14.82,17.49,15.12,15.27,15.12,10.55,9.33,10.51,11.6,10.64,8.45,12.46
MA,1.89,2.09,2.17,2.41,3.69,4.12,4.32,4.74,4.9,6.57,8.76,10.48,10.14,10.27,10.17,9.93,8.26,8.57,8.72,9.36,10.4,10.67,10.29,10.48,10.75,11.08,11.45,11.77,10.89,10.98,13.03,14.3,12.77,14.76,16.33,19.51,23.41,24.18,27.38,22.08,23.25,26.14,26.85,26.49,26.51,22.34,20.61,22.04,24.78,23.51,22.42,25.72
MD,1.79,1.94,2.07,2.18,3.39,4,4.13,4.67,4.99,5.65,7.65,8.76,9.04,8.92,8.57,9.02,8.14,7.96,8.02,8.6,9.44,9.69,9.89,10.13,10.22,10.25,10.73,10.51,10.17,10.54,11.87,11.86,11.08,12.34,13.87,16.83,20.02,21.62,25.32,21.11,22.7,25.42,25.63,25.35,25.12,21.02,19.85,21.22,22.08,21.44,19.98,23.58
ME,1.93,1.79,1.78,1.97,3.2,3.7,3.6,4,4.26,5.7,7.9,9.08,8.18,8.67,8.57,8.85,7.07,7.6,7.37,7.07,8.09,7.96,7.8,7.87,7.81,7.66,8.18,8.26,8,8.36,9.7,10.18,9.85,11.22,12.55,14.89,17.13,18.83,20.35,17.48,18.72,21.87,21.88,21.71,22.72,17.95,16.8,18.24,20.16,19.27,17.24,21.03
MI,1.71,1.78,1.83,2.07,2.9,3.34,3.65,4.17,4.4,5.28,6.57,7.55,7.92,8.15,8.22,8.46,7.52,7.63,7.48,7.72,8.08,8.15,7.97,8.07,8.08,7.96,8.4,8.48,8.32,8.43,9.74,9.94,9.95,10.78,12.14,14.53,16.66,17.57,19.53,16.8,18.31,20.73,21.33,20.31,19.84,16.43,15.57,16.5,17.46,16.89,15.98,19.37
MN,1.87,1.92,1.97,2.12,2.83,3.18,3.45,3.88,4.02,5.07,6.9,8.08,8.46,8.51,8.41,8.39,7.28,7.28,7.36,7.51,8.06,7.9,7.83,7.96,7.97,7.75,8.26,8.46,7.9,8.2,9.88,10.42,9.56,10.81,12.14,14.45,16.08,17.12,19.06,15.38,17.04,19.84,20.07,19.74,19.6,16.13,14.84,16.24,17.39,16.59,15.25,18.75
MO,1.85,1.97,2.02,2.23,2.91,3.32,3.61,4.04,4.3,5.48,7.19,8.14,8.51,8.59,8.28,8.31,7.42,7.76,7.72,8.13,8.95,8.79,8.56,8.54,8.54,8.55,9.15,9.28,8.61,8.88,11.01,11.04,10.36,11.36,12.71,15.12,16.67,17.8,20.36,16.69,18.73,22.26,22.6,22.31,21.72,18.28,17.22,18.68,19.56,18.76,16.89,20.46
MS,1.71,1.8,1.91,2.08,2.85,3.18,3.7,4.22,4.42,5.43,7.26,8.71,8.84,8.14,7.85,8.14,7.26,7.42,7.37,7.38,7.85,7.5,7.37,7.63,7.74,7.67,8.36,8.26,8,7.89,9.77,10.37,9.91,11.01,12.56,15.37,16.98,17.35,21.34,16.83,17.94,20.73,20.56,21.12,20.97,16.96,15.43,16.73,17.96,17.35,15.25,18.94
MT,1.56,1.59,1.62,1.83,2.47,2.78,2.89,3.22,3.54,4.33,6.03,7.13,7.42,7.21,7.47,7.39,6.57,6.8,6.9,7.17,7.72,7.47,7.75,7.73,7.93,7.84,8.38,8.42,7.96,7.86,9.8,10.66,9.28,10.79,12.37,14.89,16.38,17.28,20.47,16.14,18.25,21.79,22,22.06,21.86,17.66,15.97,17.17,18.56,17.99,16.18,20.51
NC,2.01,2.15,2.23,2.45,3.49,4.08,4.37,4.77,5.09,5.99,7.92,9.25,9.55,9.14,9.2,9.35,8.3,8.55,8.43,8.87,9.66,9.81,9.51,9.59,9.59,9.47,9.92,10.04,9.46,9.8,11.51,11.67,11.37,12.29,13.92,16.51,18.16,19.41,22.11,18.53,20.16,23.29,23.72,23.37,23.11,19,17.63,18.68,20.09,19.56,17.77,20.98
ND,1.98,2.08,2.02,2.4,3.12,3.49,3.86,4.22,4.36,5.45,7.33,8.49,8.35,8.25,7.45,6.25,5.12,5.08,5.25,5.33,5.85,5.84,5.49,5.64,5.55,5.5,6.05,5.87,5.43,5.78,7.05,7.28,6.69,7.39,8.77,10.5,11.36,12.75,14.99,11.34,13.23,17.13,17.98,18.31,18.38,13.73,12.39,13.51,14.95,14.67,12.51,15.68
NE,1.72,1.8,1.84,2.02,2.57,2.9,3.2,3.54,3.85,4.78,6.52,7.71,7.62,7.97,7.89,8.02,7.17,7.19,6.96,7.63,8.41,8.18,8.17,8.06,8.05,7.98,8.47,8.52,7.68,8.04,10.07,10.36,9.63,10.8,12.21,14.69,15.94,16.73,18.65,14.88,16.74,19.33,19.9,19.34,19.26,15.54,14.31,15.53,16.6,16.03,14.25,17.53
NH,2.18,2.26,2.29,2.57,3.84,4.32,4.4,4.82,5.32,7,9.28,11.36,10.71,10.54,10.14,10.31,8.55,8.74,9.24,9.9,10.82,10.76,10.81,11.07,11.46,11.76,11.93,12.09,11.46,11.89,13.68,13.62,12.81,14.15,15.58,18.46,21.84,23.25,26.66,22.09,24.16,27.72,28.38,27.68,27.78,22.56,20.97,22.26,24.5,23.52,21.48,25.65
NJ,1.99,2.21,2.27,2.5,3.87,4.35,4.41,4.95,5.18,6.4,8.4,9.68,9.67,9.43,9.31,9.62,8.26,8.04,8.17,8.67,9.43,9.35,8.94,9.04,9.08,9.25,9.86,9.82,8.89,9.18,11.13,11.13,10.59,12.17,14.31,16.31,19.02,19.67,23.61,19.11,21.66,24.33,24.4,23.84,23.14,18.96,17.63,19.16,20.09,19.88,18.69,21.8
NM,1.46,1.53,1.59,1.89,2.53,2.88,2.95,3.75,4.18,5.51,7.11,8.48,9.01,8.29,8.63,9.32,8.17,8.19,7.95,8.57,9.36,8.9,8.75,9.17,9.37,9.1,9.68,9.81,9.05,9.18,10.98,11.39,10.61,11.93,13.56,16.54,18.35,19.16,22.56,17.86,20.09,23.81,24.19,23.62,23.69,18.65,16.83,18.8,19.91,18.49,16.92,21.38
NV,1.95,1.96,2.06,2.25,3.05,3.52,3.72,4.28,4.61,5.82,8.17,9.3,9.52,8.95,8.71,8.93,7.77,7.41,7.73,8.18,8.97,8.75,8.99,9.04,9.58,9.22,9.83,9.89,9.24,10.07,11.76,12.97,13.05,13.88,15.68,18.01,20.05,21.28,23.67,20.01,20.87,23.35,23.72,22.81,23.17,19.43,16.64,17.99,20,19.72,17.93,21.11
NY,1.81,2.03,2.18,2.41,3.61,4.11,4.2,4.66,4.89,6.2,8.03,9.83,10.11,10.65,10.31,10.25,8.98,8.89,8.86,9.59,10.5,10.75,10.7,10.96,11.25,11.21,11.48,11.49,10.74,10.88,13.19,13.71,12.7,14.44,15.67,19.01,21.14,21.98,25.29,20.73,22.78,25.3,25.39,24.72,24.49,19.83,18.1,19.53,20.99,20.16,19.41,22.52
OH,1.5,1.65,1.71,1.84,2.59,3.06,3.2,3.72,3.96,4.86,6.23,7.1,7.8,8.23,8.06,8.25,7.36,7.37,7.26,7.65,8.27,8.42,8.25,8.59,8.59,8.55,8.87,9.09,8.79,8.99,10.42,10.9,10.37,11.49,12.84,15.39,17.14,17.77,20.36,16.99,18.11,20.43,20.49,19.88,19.76,16.56,15.6,16.7,17.43,16.96,15.29,18.49
OK,1.85,1.89,1.95,2.15,2.71,3.08,3.28,3.71,4.02,4.92,6.49,7.32,7.66,7.61,7.49,7.75,7,6.68,6.53,6.65,7.38,7.26,7.16,7.27,7.22,7.18,7.84,8.06,7.5,7.89,9.97,10.46,9.51,10.89,12.33,14.83,16.46,17.07,20.39,15.92,17.13,19.73,20.19,19.73,19.92,16.05,14.06,15.37,16.2,15.54,13.46,17.51
OR,1.85,1.92,1.92,2.07,2.81,3.16,3.44,3.84,4.16,5.17,7.07,7.82,8.16,8.02,8.08,8.27,7.03,7.13,7.11,7.5,8.08,7.87,8.01,8.35,8.46,8.58,8.89,8.63,8.11,8.79,10.56,10.97,11.11,11.97,13.21,15.26,16.91,18.21,20.88,17.58,19.1,22.12,22.58,22.04,22.11,18.94,17.36,18.35,20.26,19.87,18.06,21.4
PA,1.47,1.66,1.76,1.9,2.84,3.25,3.39,3.84,4.06,4.86,6.37,7.39,8.28,8.25,8.04,8.4,7.63,7.44,7.29,7.75,8.56,8.89,8.6,8.54,8.68,8.79,9.15,9.4,9.15,9.14,10.7,11.26,10.81,11.81,13.13,15.66,17.57,18.34,21.41,18.13,19.61,22.72,22.76,21.53,21.29,17.74,16.63,17.94,18.96,18.32,17.08,19.49
RI,1.92,2.01,2.16,2.44,3.76,4.14,4.28,4.68,5.02,6.49,8.95,10.66,10.29,10.3,9.91,9.56,8.38,8.52,8.44,9.34,10.48,10.39,9.24,10.66,9.57,9.89,10.59,11.07,9.5,9.93,13.14,14.05,12.72,14.28,16.01,19.02,22.56,22.96,26.42,21.52,23.62,26.18,26.58,26.23,26.58,22.6,21.25,22.29,24.84,24.3,23.05,25.66
SC,1.82,1.96,2.08,2.28,3.26,3.74,3.82,4.27,4.63,5.74,7.17,8.38,8.87,8.58,8.59,8.77,7.78,8.05,7.86,8.07,8.58,8.46,8.23,8.22,8.37,8.44,8.79,8.63,8.22,8.67,10.31,10.4,10.03,11.1,12.4,14.93,16.12,17.2,20.56,16.76,18.55,21.4,21.83,21.96,21.91,18.05,17.07,18.25,19.15,18.84,17.14,20.22
SD,2.12,2.16,2.09,2.48,3.32,3.63,3.73,4.09,4.39,5.86,7.74,8.85,8.65,8.69,8.65,8.55,7.2,7.36,7.35,8.03,8.69,8.41,8.34,8.33,8.23,8.28,8.81,9.05,8.28,8.58,10.54,11.05,10.09,11.17,12.8,15.18,16.84,17.69,19.66,15.42,17.22,20.45,21.03,20.24,20.37,16.3,15.01,16.3,17.42,16.63,14.91,18.85
TN,1.73,1.9,1.91,2.05,2.77,3.53,3.8,4.14,4.67,5.68,7.25,8.41,8.83,8.21,8.01,8.08,7.52,7.67,7.73,7.96,8.52,8.28,8.16,8.18,8.24,8.15,8.73,8.78,8.43,8.66,10,9.99,9.69,10.63,12.17,14.65,16.38,17.32,20.63,17.14,18.66,22.05,22.26,21.64,21.4,17.44,16.17,17.51,18.7,18.3,16.15,19.57
TX,1.28,1.33,1.4,1.48,2.29,2.83,3.17,3.51,3.71,4.77,6.15,7.26,7.66,7.59,7.54,7.12,5.74,5.77,5.58,5.65,6.51,6.35,6.27,6.44,6.57,6.42,7.06,6.9,6.08,6.71,8.74,8.86,7.96,9.76,11.41,14.72,16.78,17.79,21.71,15.75,17.39,20.49,19.16,18.99,18.84,13.69,12.53,14.07,15.29,14.08,11.94,16.53
UT,1.31,1.39,1.47,1.6,2.23,2.59,2.71,3.15,3.42,4.43,5.79,6.7,7.29,6.95,7.09,7.25,7,7.41,6.83,6.84,7.18,6.97,7.17,6.98,6.99,7.02,7.56,7.66,6.99,7.51,8.72,9.27,9.18,10.19,11.39,13.73,15.88,16.51,18.7,15.03,17.03,20.29,21.15,20.66,21.01,17.22,15.76,16.92,18.46,17.46,15.89,19.68
VA,1.8,1.88,1.99,2.21,3.33,3.95,4.16,4.72,4.94,5.99,7.95,9.03,9.19,8.9,8.59,8.67,7.44,7.62,7.58,8.04,8.61,8.53,8.61,8.75,8.64,8.75,9.13,9.23,8.44,8.8,10.42,10.71,10.45,11.27,12.67,14.98,16.63,17.56,21.18,17.56,19.13,22.3,22.73,22.12,21.78,17.67,16.26,17.48,19.04,18.5,16.69,19.73
VT,2.37,2.52,2.64,2.86,4.08,4.33,4.48,4.75,5.03,6.62,8.97,10.46,10.53,10.26,10.07,10.11,8.86,9.14,9.19,9.91,11.24,10.87,10.65,10.69,10.85,11.21,11.73,11.4,11.08,11.69,13.6,13.9,13.8,14.66,15.96,18.66,21.03,22.9,27.01,21.15,23.67,27.92,29.07,28.28,27.7,21.34,19.91,21.5,23.11,22.16,20.51,24.24
WA,1.58,1.64,1.64,1.79,2.39,2.79,3.03,3.32,3.48,4.34,5.89,6.84,7.46,7.45,7.47,7.37,6.2,6.23,6.26,6.54,7.03,7.11,6.59,7.02,7.23,7.34,7.88,7.85,7.01,7.64,9.53,10.44,10.45,11.5,13.06,14.99,16.46,17.71,20.61,16.78,18.42,21.48,21.77,21.53,21.17,17.44,15.89,17.78,19.69,19.09,17.58,20.92
WI,1.76,1.86,2,2.26,2.92,3.28,3.64,3.97,4.14,5.25,6.72,7.91,8.34,8.36,8.44,8.41,7.6,7.56,7.4,7.49,8.01,7.89,7.85,7.93,7.92,7.82,8.2,8.26,7.97,8.23,9.93,10.56,10,11.32,12.75,15.08,16.75,17.95,20.14,16.7,18.46,20.91,21.34,20.27,20.66,16.97,15.76,16.74,17.5,16.89,15.48,19.44
WV,1.15,1.31,1.38,1.5,2.17,2.8,2.96,3.39,3.57,4.34,5.55,6.46,6.96,7.2,6.72,7.3,6.17,6.21,5.94,6.21,6.81,7.09,7.12,7.18,7.17,7.51,7.72,7.91,7.26,7.64,8.78,8.81,8.53,9.68,10.85,13.24,14.39,15.02,17.64,15.98,17.43,20.53,21.19,20.63,20.08,16.88,16.45,17.61,18.79,17.83,16.48,19.6
WY,1.32,1.5,1.33,1.59,2.18,2.55,2.69,2.93,3.22,4.27,5.86,6.68,6.61,6.55,6.79,6.79,6.17,6.1,6.15,6.53,6.53,6.26,5.97,6.13,6.03,6.18,6.38,6.48,5.96,6.56,7.92,8.51,8.03,8.8,10.31,12.94,14.55,14.95,17.86,13.64,15.37,18.2,18.68,18.42,18.79,14.88,13.28,14.51,15.41,14.93,13.58,17.32
US,1.65,1.76,1.84,2.02,2.87,3.33,3.57,3.98,4.23,5.22,6.89,8.04,8.47,8.4,8.3,8.38,7.32,7.36,7.29,7.59,8.29,8.25,8.16,8.29,8.33,8.31,8.77,8.83,8.22,8.58,10.33,10.78,10.1,11.44,12.9,15.57,17.4,18.34,21.53,17.26,18.92,21.87,21.84,21.42,21.33,17.31,15.95,17.32,18.61,17.96,16.25,19.99
